question,document,answer_orig,answer_llm,score,reasoning
"Can I start the course at any time, and does the homework use the same data as the lessons?",04919992b3,"Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","Yes, you can start the course whenever you want.

And no, the homework does not use exactly the same data as the lessons — it is similar to the lesson flow, but uses a different dataset or a slightly different task.",good,"The AI answer correctly states that the course can be started anytime and that the homework does not use exactly the same data as the lessons, instead using a different dataset or slightly different task. This matches the ground truth key points, with no substantive omissions or errors."
Why is a certificate not available for someone who completes the course outside the scheduled cohort?,69d122f12e,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","A certificate isn’t available because certificates are only issued to participants who finish with a **live cohort**. In self-paced/outside the scheduled cohort mode, you can’t do the required **peer reviews of 3 capstones**, since peer review is only open while the course is running.",good,"The AI answer preserves the key points from the ground truth: certificates require completing the course with a live cohort, self-paced/outside-scheduled cohort mode does not qualify, and the reason is that the required peer-review of 3 capstones can only be done while the course is running. This is semantically equivalent to the original answer."
What requirement related to reviewing capstone projects prevents certificates from being issued in self-paced mode?,69d122f12e,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","You need to **peer-review 3 capstone projects after submitting your own project**. That can only happen while the course is running in a live cohort, so certificates aren’t issued in self-paced mode.",good,"The AI answer matches the ground truth: it states that 3 capstone projects must be peer-reviewed after submitting one's own project, and that this can only be done while the course is running in a live cohort, which is why self-paced mode does not issue certificates."
"If I already completed the sign-up form, does that mean I am officially in the course, even if I never got any email back?",977bf7786c,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"Yes — you’re officially in the course. You don’t need a confirmation email, and registration is just to gauge interest. You can start learning and submitting homework as long as the form is open.",good,"The AI answer matches the ground truth: it says the student is officially in the course without needing a confirmation email, that the form is only to gauge interest, and that they can start learning and submitting homework while the form is open. This conveys the same key information."
"I found this course late — is it still okay to start now, and what would I need to do if I want a certificate?",74eb249bbf,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes — you can still join even if you found the course late.

If you want a certificate, you need to:
- submit your capstone project while the course is still accepting submissions, and
- be in the live cohort (certificates are not awarded for self-paced mode),
- plus peer-review 3 capstone projects after you submit yours.

Homework is not mandatory for the certificate, but you do need to pass the capstone project.",good,"The AI answer preserves the core meaning of the ground truth: it is still okay to start late, and to get a certificate you must submit your project while submissions are open. It adds extra requirements (live cohort, peer reviews, passing the capstone) that are not present in the original answer, but these do not contradict the key point asked. Since the prompt asks for semantic equivalence to the original answer and the main requirement is retained, this is acceptable."
Is it possible to complete the assignments later and still get credit for the certificate once the course period has ended?,69d122f12e,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","Yes, but only while the course is still accepting submissions. You can submit assignments if the form is still open even after the deadline, but you cannot get certificate credit after the course has ended. To receive a certificate, you must submit your project during the live course period.",good,"The ground truth says no certificate is possible after the course period ends, and certificates are only awarded for finishing with a live cohort because peer reviews must be done while the course is running. The AI answer says you can only get credit while the course is still accepting submissions and that you cannot get certificate credit after the course has ended, which matches the core answer. Although it adds some phrasing about submitting after the deadline and live course period, it preserves the essential meaning."
"Is late registration allowed for this course, and does certification depend on turning in the project before submissions close?",74eb249bbf,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, you can still join late. You don’t need a confirmation email or prior registration, and you can start learning and submitting homework while the form is open.

For certification, yes: you need to submit your project while submissions are still being accepted.",good,The AI answer preserves the key points from the ground truth: late participation is allowed and certification requires submitting the project while submissions are still open. The extra mention of no confirmation email or prior registration is additional but not contradictory to the asked question. Overall semantically equivalent.
What is the deadline condition for getting a certificate if I signed up after the course started?,74eb249bbf,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",I don't know.,bad,"The ground truth says late signups can still get a certificate, provided they submit their project while submissions are still being accepted. The AI answer says it does not know, which misses the key information and is not semantically equivalent."
"Can I enroll after the course has already begun, or is joining only possible at the start?",74eb249bbf,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","You can start whenever you want — joining is not limited to the course start date. The videos, GitHub materials, and deadlines are available, so you can follow the course in a self-paced way.

However, if you want a certificate, you must finish with a live cohort, not in self-paced mode.",bad,"The AI answer captures that enrollment is possible after the course has started and adds extra detail about self-paced access. However, it changes the certificate condition: the ground truth says you can still get a certificate if you submit your project while submissions are open, whereas the AI says you must finish with a live cohort and cannot get a certificate in self-paced mode. That is a substantive mismatch."
"If I’m joining the course late, will I still be eligible for the certificate as long as I complete the project on time?",74eb249bbf,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",I don’t know.,bad,"The AI answer does not convey the ground truth. The correct answer is that late joiners can still be eligible for the certificate, but only if they submit the project before submissions close. Saying 'I don’t know' is incorrect and misses the key condition."
How can I locate my own entry on the course leaderboard if I cannot find my name at first glance?,c2903069a0,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","Click the **“Jump to your record on the leaderboard”** link. Your account is assigned a random display name, so that link will take you directly to your own entry even if you can’t spot your name right away.",good,"The AI answer correctly states that you should click the “Jump to your record on the leaderboard” link to find your entry, and it mentions that the account is assigned a random display name. This matches the core of the original answer. Extra profile details are omitted, but they are not needed to answer the question."
Which profile field should I edit if I want to use my Slack or GitHub handle instead of my current nickname?,c2903069a0,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",Edit the **first field** in **Edit Course Profile** — that’s your **nickname/display name**. You can set it to your Slack or GitHub handle.,good,"The AI answer correctly identifies the first field in Edit Course Profile as the nickname/display name and states it can be set to a Slack or GitHub handle, matching the ground truth."
Where do I check the display name that appears for my course profile?,c2903069a0,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",Click **“Edit Course Profile”** and check the **first field** — that’s your **display name / public nickname** shown on the leaderboard.,good,"The AI answer correctly identifies that the display name can be checked by clicking ""Edit Course Profile"" and that the first field is the nickname/displayed name. It conveys the key information from the ground truth, though it omits some extra context about the leaderboard and certificate name."
Where should I look for the live session video or stream link before an Office Hours event starts?,489dd1c9d9,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","Look for the video URL in the **announcements channel on Telegram and Slack** before the session starts. You can also watch live on the **DataTalksClub YouTube channel**.

",good,"The AI answer captures the key information: the live video URL is posted in the announcements channel on Telegram and Slack before the session starts, and the session can also be watched on the DataTalksClub YouTube channel. This matches the ground truth. It omits some extra details about Zoom access and Slido, but those are not required to answer the question."
"What is the random name shown when a new account is created, and can I change it later?",c2903069a0,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","When a new account is created, you’re automatically assigned a random display name like **“Lucid Elbakyan.”** Yes, you can change it later in **“Edit Course Profile”** — that’s the first field for your public nickname/display name.",good,"The AI answer correctly states that a new account gets a random name like “Lucid Elbakyan” and that it can be changed later in Edit Course Profile, specifically the first field for the public nickname/display name. It captures the key point of the original answer, though it omits the note about the second field and certificate name, which is extra detail rather than essential to the question asked."
"Can participants watch the workshop live on YouTube, and where is that channel linked?",489dd1c9d9,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","Yes. Participants can watch the workshop live on YouTube, and the channel is the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).",good,"The AI answer correctly states that participants can watch live on YouTube and identifies the DataTalksClub YouTube Channel link. It omits some additional context about Slido and announcements, but those are not required for the question asked."
How do students join the Office Hours or live workshop stream if the Zoom room is not shared with everyone?,489dd1c9d9,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","Students don’t join the Zoom room directly if it isn’t shared with everyone. The Zoom link is only for instructors/presenters/TAs.

Students should:
- watch via **YouTube Live**
- submit questions via **Slido** (the link is pinned in chat when live)
- check the **announcements channel on Telegram and Slack** for the live video URL before it starts

Don’t post questions in the Zoom chat, since they may be missed if the room is active.",good,"The AI answer matches the ground truth: it states the Zoom link is only for instructors/presenters/TAs, students watch via YouTube Live, ask questions via Slido, check Telegram/Slack announcements for the live URL, and avoid posting questions in chat. This is semantically equivalent."
Do you know the upcoming session date for this course?,bd31146b0e,Summer 2027.,I don't know.,bad,"The ground truth states the upcoming session date is Summer 2027. The AI answer says it does not know, which fails to provide the correct date and is not semantically equivalent."
"If I want to ask a question during the live workshop, what is the proper place to send it instead of using the chat?",489dd1c9d9,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","You should send your questions to **Slido**, not the chat. The Slido link is **pinned in the chat when the session is live**.",good,"The AI answer matches the key point of the ground truth: students should submit questions via Slido instead of the chat, and it notes the link is pinned in the live chat. This is semantically equivalent to the original answer for the question asked."
What term or year is planned for the next offering of this course?,bd31146b0e,Summer 2027.,Summer 2027.,good,The AI answer exactly matches the ground truth: the next offering is planned for Summer 2027.
In which season and year will the course be available again?,bd31146b0e,Summer 2027.,Summer 2027.,good,The AI answer exactly matches the ground truth: the course will be available again in Summer 2027.
What name needs to be entered for the certificate so that it matches my official identification?,c2903069a0,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","Enter your **official name as it appears on your identification documents** — for example, your **passport, national ID card, or driver’s license**. This is the name that will be printed on your certificate.",good,"The AI answer correctly states that the certificate should use the user's official name as shown on identification documents, matching the key point of the ground truth. It omits the extra context about the random default name and display name fields, but that is not necessary to answer the question."
Why should I avoid posting my questions directly in the live chat during Office Hours?,489dd1c9d9,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","You should avoid posting questions directly in the live chat because they may be missed if the room is very active. Instead, submit questions via Slido during Office Hours.",good,"The AI answer captures the key reason from the ground truth: questions in the live chat may be missed when the room is active, and it correctly points to Slido as the proper place to submit questions. It omits some contextual details about YouTube/Zoom access, but those are not necessary to answer the question asked."
When is the next time this course will run?,bd31146b0e,Summer 2027.,Summer 2027.,good,"The AI answer matches the ground truth exactly, stating the next course run is Summer 2027."
Can you tell me when the course is scheduled to return?,bd31146b0e,Summer 2027.,I don't know.,bad,"The ground truth gives a specific return time: Summer 2027. The AI answer says it doesn't know, which does not convey the correct schedule information and misses the key point."
Why might the instructions or tasks for an assignment change after it has been posted?,96286b4be4,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",I don't know.,bad,"The AI answer does not convey the ground truth explanation. The correct answer is that if the homework title contains [DRAFT], the assignment is not ready yet and its contents may still change until the form is open and the title no longer includes [DRAFT]. Saying 'I don't know' misses the key point and is not semantically equivalent."
What conditions need to be met before I should assume a homework version will no longer be updated?,96286b4be4,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",I don't know.,bad,The AI answer fails to provide the required conditions and does not convey the ground truth that homework is only ready when the form is open and the title no longer contains [DRAFT].
How can I tell whether a homework assignment is actually finalized and safe to start?,96286b4be4,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","The homework is finalized and safe to start only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If it still says `[DRAFT]`, the content may change, so starting early is at your own risk.",good,"The AI answer matches the ground truth: it states the two required conditions for readiness, explains that [DRAFT] means not ready, and notes that early work is at the user's own risk because content may change. No key information is missing or incorrect."
What does it mean when a homework title has a draft label in it?,96286b4be4,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","If a homework title has a `[DRAFT]` label, it means the homework is not ready yet. The content can still change until the homework form is open and the title no longer contains `[DRAFT]`.",good,"The AI answer matches the ground truth: it says `[DRAFT]` means the homework is not ready yet, and notes that the content can still change until the form is open and the title no longer contains `[DRAFT]`. This captures the key conditions and meaning. It omits the 'at your own risk' wording, but that is extra detail rather than a core requirement."
"Is the Capstone project the only required part for receiving the certificate, or do I also have to submit all homework?",9f689c185f,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","No — you only need to pass the Capstone project to receive the certificate. Homework is **not mandatory** for the certificate, although it’s recommended and its points count toward your leaderboard rank.",good,"The AI answer matches the ground truth: it says the Capstone project is required for the certificate, homework is not mandatory, and homework points count toward leaderboard rank. Semantically equivalent."
"If I skip an early homework assignment, am I still eligible for the course certificate as long as I complete the final project?",9f689c185f,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",Yes. Homework is not mandatory for the certificate — you only need to pass the Capstone project to get the certificate.,good,"The AI answer matches the ground truth: it says homework is not mandatory for the certificate and that passing the Capstone project is required. It omits the leaderboard/ranking detail, but that is extra information and not necessary for equivalence."
"If I miss one or more homeworks, can I still finish the course successfully by completing the Capstone project?",9f689c185f,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",I don't know.,bad,"The AI answer does not convey the ground truth. The correct answer is that homework is not mandatory and passing the Capstone project is sufficient to get the certificate, while homework only affects leaderboard rank. Saying 'I don't know' misses the key point and is incorrect."
"Do homework points affect certificate eligibility, or do they only influence the leaderboard standings?",9f689c185f,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",Homework points only influence your leaderboard rank. They do not affect certificate eligibility; passing the Capstone project is what matters for the certificate.,good,"The AI answer matches the ground truth: homework points affect only leaderboard rank, are not required for certificate eligibility, and passing the Capstone project is necessary for the certificate. No key information is missing or incorrect."
"How important are homework assignments for certification in this course, and are they mainly for practice instead of being required?",9f689c185f,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","Homework assignments are important because they’re part of the course structure and use the course GitHub repo and platform for instructions, submission, and deadlines.

But the context does **not** say whether they are required for certification or mainly for practice. I don't know.",bad,"The AI answer fails to state the key ground-truth points: homework is not mandatory, it is recommended for practice/reinforcement, and certification depends on passing the Capstone project. Instead, it says it does not know whether homework are required or for practice, which misses the main answer and adds unsupported details about course structure. Therefore it is not semantically equivalent."
Is there a central place to check deadlines and monitor my progress in this course?,20c5a1347e,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.","Yes — the central place to check deadlines, homework, and your progress is the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, deadlines, homework, and progress tracking.",good,"The AI answer matches the ground truth: it points to the same course management platform and states that it contains the cohort structure, homework, deadlines, and progress tracking. It preserves the core information accurately."
