question,answer_llm,answer_orig,document
Why is a certificate not available for someone who completes the course outside the scheduled cohort?,"A certificate isn’t available because certificates are only issued to participants who finish with a **live cohort**. In self-paced/outside the scheduled cohort mode, you can’t do the required **peer reviews of 3 capstones**, since peer review is only open while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
What requirement related to reviewing capstone projects prevents certificates from being issued in self-paced mode?,"You need to **peer-review 3 capstone projects after submitting your own project**. That can only happen while the course is running in a live cohort, so certificates aren’t issued in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"I found this course late — is it still okay to start now, and what would I need to do if I want a certificate?","Yes — you can still join even if you found the course late.

If you want a certificate, you need to:
- submit your capstone project while the course is still accepting submissions, and
- be in the live cohort (certificates are not awarded for self-paced mode),
- plus peer-review 3 capstone projects after you submit yours.

Homework is not mandatory for the certificate, but you do need to pass the capstone project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it possible to complete the assignments later and still get credit for the certificate once the course period has ended?,"Yes, but only while the course is still accepting submissions. You can submit assignments if the form is still open even after the deadline, but you cannot get certificate credit after the course has ended. To receive a certificate, you must submit your project during the live course period.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I already completed the sign-up form, does that mean I am officially in the course, even if I never got any email back?","Yes — you’re officially in the course. You don’t need a confirmation email, and registration is just to gauge interest. You can start learning and submitting homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Can I enroll after the course has already begun, or is joining only possible at the start?","You can start whenever you want — joining is not limited to the course start date. The videos, GitHub materials, and deadlines are available, so you can follow the course in a self-paced way.

However, if you want a certificate, you must finish with a live cohort, not in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I’m joining the course late, will I still be eligible for the certificate as long as I complete the project on time?",I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What is the deadline condition for getting a certificate if I signed up after the course started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is late registration allowed for this course, and does certification depend on turning in the project before submissions close?","Yes, you can still join late. You don’t need a confirmation email or prior registration, and you can start learning and submitting homework while the form is open.

For certification, yes: you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
How can I locate my own entry on the course leaderboard if I cannot find my name at first glance?,"Click the **“Jump to your record on the leaderboard”** link. Your account is assigned a random display name, so that link will take you directly to your own entry even if you can’t spot your name right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Which profile field should I edit if I want to use my Slack or GitHub handle instead of my current nickname?,Edit the **first field** in **Edit Course Profile** — that’s your **nickname/display name**. You can set it to your Slack or GitHub handle.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"What is the random name shown when a new account is created, and can I change it later?","When a new account is created, you’re automatically assigned a random display name like **“Lucid Elbakyan.”** Yes, you can change it later in **“Edit Course Profile”** — that’s the first field for your public nickname/display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name needs to be entered for the certificate so that it matches my official identification?,"Enter your **official name as it appears on your identification documents** — for example, your **passport, national ID card, or driver’s license**. This is the name that will be printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where should I look for the live session video or stream link before an Office Hours event starts?,"Look for the video URL in the **announcements channel on Telegram and Slack** before the session starts. You can also watch live on the **DataTalksClub YouTube channel**.

","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I check the display name that appears for my course profile?,Click **“Edit Course Profile”** and check the **first field** — that’s your **display name / public nickname** shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do students join the Office Hours or live workshop stream if the Zoom room is not shared with everyone?,"Students don’t join the Zoom room directly if it isn’t shared with everyone. The Zoom link is only for instructors/presenters/TAs.

Students should:
- watch via **YouTube Live**
- submit questions via **Slido** (the link is pinned in chat when live)
- check the **announcements channel on Telegram and Slack** for the live video URL before it starts

Don’t post questions in the Zoom chat, since they may be missed if the room is active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can participants watch the workshop live on YouTube, and where is that channel linked?","Yes. Participants can watch the workshop live on YouTube, and the channel is the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I want to ask a question during the live workshop, what is the proper place to send it instead of using the chat?","You should send your questions to **Slido**, not the chat. The Slido link is **pinned in the chat when the session is live**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Do you know the upcoming session date for this course?,I don't know.,Summer 2027.,bd31146b0e
What term or year is planned for the next offering of this course?,Summer 2027.,Summer 2027.,bd31146b0e
Why should I avoid posting my questions directly in the live chat during Office Hours?,"You should avoid posting questions directly in the live chat because they may be missed if the room is very active. Instead, submit questions via Slido during Office Hours.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
In which season and year will the course be available again?,Summer 2027.,Summer 2027.,bd31146b0e
When is the next time this course will run?,Summer 2027.,Summer 2027.,bd31146b0e
Why might the instructions or tasks for an assignment change after it has been posted?,I don't know.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can you tell me when the course is scheduled to return?,I don't know.,Summer 2027.,bd31146b0e
What conditions need to be met before I should assume a homework version will no longer be updated?,I don't know.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has a draft label in it?,"If a homework title has a `[DRAFT]` label, it means the homework is not ready yet. The content can still change until the homework form is open and the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell whether a homework assignment is actually finalized and safe to start?,"The homework is finalized and safe to start only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If it still says `[DRAFT]`, the content may change, so starting early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is it considered okay to begin working on a homework exercise without risking later changes?,"It’s considered okay only when **both** of these are true:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the homework can still change, so starting early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is the Capstone project the only required part for receiving the certificate, or do I also have to submit all homework?","No — you only need to pass the Capstone project to receive the certificate. Homework is **not mandatory** for the certificate, although it’s recommended and its points count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I skip an early homework assignment, am I still eligible for the course certificate as long as I complete the final project?",Yes. Homework is not mandatory for the certificate — you only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I miss one or more homeworks, can I still finish the course successfully by completing the Capstone project?",I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"How important are homework assignments for certification in this course, and are they mainly for practice instead of being required?","Homework assignments are important because they’re part of the course structure and use the course GitHub repo and platform for instructions, submission, and deadlines.

But the context does **not** say whether they are required for certification or mainly for practice. I don't know.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do homework points affect certificate eligibility, or do they only influence the leaderboard standings?",Homework points only influence your leaderboard rank. They do not affect certificate eligibility; passing the Capstone project is what matters for the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What site should I use to follow the course structure for my cohort?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a central place to check deadlines and monitor my progress in this course?,"Yes — the central place to check deadlines, homework, and your progress is the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where can I find the official course page for all LLM Zoomcamp updates and tasks?,"The official course page for LLM Zoomcamp updates, syllabus, deadlines, homework, and progress is the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do I need a separate system to track homework and deadlines, or is everything available in one course portal?","Everything is available in the course portal for tracking the syllabus, deadlines, homework, and progress.

The GitHub repo is also used for homework questions and extra instructions, but you do **not** need a separate system just for tracking deadlines.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we have a separate live class or office-hour meeting for every module, or are the lessons mainly pre-recorded and posted in the repo?","No separate live session or office-hour meeting is scheduled for every module by default. The module lessons are mainly pre-recorded and available in the course repo.

Live sessions, when they happen, are announced separately. If you get stuck, you should ask in Slack and follow the questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I keep up with the current LLM Zoomcamp schedule and homework assignments?,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) to track the current syllabus, deadlines, homework, and your progress.

For homework specifically:
- The platform shows submission forms and deadlines.
- The GitHub repo has the full homework instructions and extra context:  
  - [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
  - [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

A homework is considered ready only when:
- the homework form is open on the platform, and
- the title does **not** contain `[DRAFT]`.

Until then, things may still change.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"If I get stuck on a topic, where should I ask for help and are there any rules I should follow when posting questions?","If you get stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

A couple of rules from the context:
- Include code or command output as text, not a screenshot.
- Check the GitHub homework instructions first if the issue is about homework.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Is there an optional paid support community with regular Zoom help sessions, even though the main course stays free?","Yes. There is an optional paid support community called **AI Shipping Labs** that includes **regular Zoom office hours** and extra structure, while the main DataTalks.Club course content remains **free**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"How are live meetings for this course scheduled, and will I be notified only when a session is actually happening?","Live sessions are not scheduled for every module by default. The course materials are pre-recorded, and any live sessions are announced separately when they happen.

You’ll be notified through the announcements channel on Telegram and Slack before a session begins. Students join via YouTube Live, and the link is posted when the session is live.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Where can I find the module materials, and should I expect extra live support by default for each part of the course?","You can find the module materials in the course repo — module materials are pre-recorded and available there.

And no, you should not expect separate live support for each part of the course by default. Live sessions are announced separately when they happen. If you get stuck, the recommendation is to ask in Slack following the questions guidelines.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
What is the Telegram link for the LLM Zoomcamp channel used for announcements?,The Telegram link for the LLM Zoomcamp announcements channel is: https://t.me/llm_zoomcamp,"The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Where can I find the course Telegram group for LLM Zoomcamp?,The LLM Zoomcamp Telegram group is here: https://t.me/llm_zoomcamp,"The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Which channel should I join to receive LLM Zoomcamp announcements?,Join the LLM Zoomcamp Telegram channel: https://t.me/llm_zoomcamp. Use it for announcements.,"The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Should technical questions go to the Telegram channel or to Slack?,"Technical questions should go to the course Slack channel, not Telegram.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
"Is there a Telegram channel for the course, and what is its URL?","Yes. The Telegram channel for the course is:

https://t.me/llm_zoomcamp","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Why is the FAQ data count different from what is shown in the course videos?,"The FAQ dataset count is different because we use the live FAQ dataset, which changes over time. New questions are added and old ones are deleted. The videos were recorded in May 2026, so the count you get now may not match what appears in the videos.","We load the data from the live FAQ dataset, which changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so by the time you run the code the count is different from what you see in the videos.",e2d595f23c
