question,document
"Why am I getting a 429 rate-limit error from OpenAI when calling the API, and what does it usually mean about my account status?",152af39a53
What steps should I take to fix an OpenAI API quota problem so my code works again?,152af39a53
"Do I need to pay for OpenAI API usage, or is there any free allowance for this course setup?",152af39a53
"After adding billing credits, do I need to change anything in my code or API settings before retrying the request?",152af39a53
"If my request uses `responses.create(model='gpt-4o', ...)`, how can I make sure I’m selecting a model that my account can actually use?",152af39a53
What is the minimum amount I need to add to my OpenAI account before using the API for this course?,554d0eb78b
Roughly how expensive is it to experiment with the OpenAI API in this module?,554d0eb78b
"If I use the OpenAI API only for course exercises, should I expect a large bill?",554d0eb78b
How much money should I budget at first to start calling the OpenAI API?,554d0eb78b
Is it true that normal course use of the OpenAI API costs only a tiny amount?,554d0eb78b
"For the Module 1 RAG homework, do I need a paid OpenAI API subscription, or can I finish it without spending money?",85384a18e5
Is it necessary to buy access to OpenAI's API to complete the assignments in this course?,85384a18e5
"If I don't want to pay for OpenAI, what options are available for doing the course homework?",85384a18e5
Are there any free or inexpensive API providers I can use instead of OpenAI for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives recommended by the course?,85384a18e5
"Why does my notebook still say the OpenAI key is missing, even though I created a .env file?",86d99bbf21
What package do I need so the notebook can read environment variables from .env?,86d99bbf21
In what order should I set up the environment so OpenAI authentication works inside Jupyter?,86d99bbf21
"Could the issue be that my variable name is wrong in the .env file, and what should it be called?",86d99bbf21
Do I need to load the .env file in the notebook before I build the OpenAI client?,86d99bbf21
What is the main reason the course recommends uv for managing Python projects instead of using separate tools like pip and virtualenv?,f81dea8f7e
"Does the course require me to use uv, or can I still follow along with pip and virtualenv?",f81dea8f7e
Which common Python utilities does uv combine into a single workflow for the lessons?,f81dea8f7e
How does uv help with setting up environments and dependencies more quickly than the usual toolchain?,f81dea8f7e
"Why did the course choose uv for the module setup, and what benefit does it give in terms of reproducible installs?",f81dea8f7e
How can I keep my OpenAI or Groq secret keys out of my code and load them safely in Python?,233dabe430
What is the recommended way to save environment variables for local development without committing them to Git?,233dabe430
How do I use a .env file in a Python project to read API credentials at runtime?,233dabe430
"Which package should I install to read variables from a local secrets file, and how is it used?",233dabe430
"What steps should I follow so my Gemini, OpenAI, or Groq keys are available in my script but not pushed to the repository?",233dabe430
Is it okay to complete the assignment with a different LLM provider or model than the one suggested in the homework?,ee43413718
Which model providers are acceptable for the RAG homework besides the recommended option?,ee43413718
Do I need to pay for an external API service to finish this module's assignment?,ee43413718
What changes might I have to make in my code if I switch to another LLM backend?,ee43413718
Where can I find a list of alternative APIs or local model options for this course?,ee43413718
What do I need to set up in my environment before I can call Gemini from the Module 1 notebook using the OpenAI-style client?,0ae5c221b9
How should I configure the OpenAI SDK so it talks to Google’s Gemini endpoint instead of the default OpenAI service?,0ae5c221b9
Can you show me a simple helper function for sending instructions and a user message to a Gemini model in this notebook?,0ae5c221b9
"Which Gemini model name can I pass by default, and where does that name go in the request?",0ae5c221b9
"If the notebook was originally written for the newer Responses API, what parts usually need to be adjusted when switching to the chat completions approach?",0ae5c221b9
What is the recommended way to obtain a typed Pydantic result from Gemini when the newer Responses parsing method is not supported?,341f71f28c
How do I define the schema for a list of FAQ entries so the model returns usable objects instead of raw text?,341f71f28c
Can you show how to call the OpenAI SDK against Gemini’s compatible endpoint and still get parsed output from a chat completion?,341f71f28c
"Where do I access the parsed data after using the chat completion parsing API, and what does the returned object look like?",341f71f28c
What dependencies and setup are needed to make structured parsing work with Gemini through the OpenAI Python library?,341f71f28c
"How do I get Ollama set up on macOS, Windows, or Linux, and where should I start the download?",1d0b969028
"After installing Ollama, what command do I use to launch a local Llama 3 chat session?",1d0b969028
How can I verify that the local Ollama service is running correctly on my machine?,1d0b969028
"Which Python package should I add to use Ollama from code, and what is the installation command?",1d0b969028
Can you show a minimal example of calling Ollama from Python and reading back the model’s reply?,1d0b969028
How can I fix a connection refused issue when my Ollama-based RAG notebook stops responding during homework?,c6fc2d4d11
What should I do if I need to bring the Ollama server back up after restarting the notebook?,c6fc2d4d11
Is there a command I can run to relaunch Ollama in the background when the RAG setup fails to connect?,c6fc2d4d11
Do I need to execute the server start cell again after stopping and reopening the notebook session?,c6fc2d4d11
What is the recommended way to recover from an Ollama connection error while working on the RAG assignment?,c6fc2d4d11
Why can the number of tokens I get from `tiktoken.encode()` be lower than the count shown by the OpenAI chat API?,bf0403d21b
What hidden formatting tokens does a chat completion request add before the model sees my prompt?,bf0403d21b
How does OpenAI count tokens for each message in a `chat.completions.create()` call?,bf0403d21b
"Why might small things like newlines, spaces, or unusual Unicode change the token total?",bf0403d21b
"If my prompt text is 320 tokens locally, why could the API report something like 327 tokens instead?",bf0403d21b
What is a reliable way to decide the best weights for different fields in a search ranking setup?,87d4ea4e08
"If I want to tune minsearch field weights, what kind of test set and metrics should I use to compare options?",87d4ea4e08
"Is it okay to pick field weights by trial and error, or should I build an evaluation set first?",87d4ea4e08
How can I measure whether one set of search weights is better than another for retrieval quality?,87d4ea4e08
What steps should I follow to evaluate and compare different weighting schemes for document search?,87d4ea4e08
"In GitHub Codespaces, if uv reports that it cannot hardlink files, should I worry that the install failed?",acf8fa5356
"Why does uv sometimes show a hardlink warning in Codespaces, and does it stop the package from being installed?",acf8fa5356
What does uv do when hardlinking between its cache and the environment is not possible?,acf8fa5356
How can I silence the uv hardlink warning just for my current terminal session?,acf8fa5356
What command should I add to my shell startup file so uv always uses copy mode in Codespaces?,acf8fa5356
"How can I make my OpenAI key load automatically whenever I enter a project folder, instead of typing exports in every new shell?",8b2f5e9d04
Is there a tool you recommend for managing environment variables from both .env and .envrc files across different terminals and OSes?,8b2f5e9d04
"What is the safest way to store API credentials locally so they do not get committed to GitHub, and what files should be ignored?",8b2f5e9d04
"If I already use direnv, what is the usual setup for keeping secrets in a project and enabling them for that directory?",8b2f5e9d04
"In a Python script, how do I read variables from a .env file at startup without manually setting them in the shell?",8b2f5e9d04
I’m getting an error that says dotenv can’t be found. Which Python package do I need to add to my environment?,0bed1f48da
What should I install so I can use load_dotenv() in my code?,0bed1f48da
How do I set up my project to read variables from a .env file in Python?,0bed1f48da
My notebook says the dotenv module is missing. What is the correct dependency to add with uv?,0bed1f48da
Could you show the package installation step and the import needed to enable environment loading in Python?,0bed1f48da
"What cleanup should I do on my source files before building a RAG pipeline, and what kind of extra content should I avoid removing?",649c280e6d
"Do I need to convert my documents into JSON for retrieval, or can I use another format if it is easier to process?",649c280e6d
"Which document details are worth keeping for better search and ranking in RAG, such as headings or page info?",649c280e6d
How should I split long documents so the chunks still keep the right context together for retrieval?,649c280e6d
"Besides shortening text, what is the real goal of preparing documents for RAG so that the system works better?",649c280e6d
Is it okay to do the module on my own machine rather than using GitHub Codespaces?,aa310de435
What software and tools should I have installed if I want to follow the course outside of Codespaces?,aa310de435
Why does the course recommend Codespaces instead of letting everyone set up their own environment from scratch?,aa310de435
"If I choose a local setup, do I need to write down how I configured everything for reproducibility?",aa310de435
"Do I have to use the provided cloud environment, or can I work with a fully local development setup?",aa310de435
"If I edit files in GitHub Codespaces and never push or commit them, where are those changes actually stored?",610ccb23c0
Do I risk losing my work in Codespaces if the session stops or the environment gets removed?,610ccb23c0
Why should I commit my changes regularly when working in Codespaces instead of relying on the workspace itself?,610ccb23c0
"Is code left uncommitted in Codespaces kept in my GitHub repo automatically, or only in the temporary environment?",610ccb23c0
What is the safest way to make sure my Codespaces work is not lost later?,610ccb23c0
"Why does WSL2 say there is not enough memory for the model even though my laptop has more RAM, and how can I increase the amount WSL2 can use?",f3dd94f323
Where should I place a WSL2 settings file on Windows if I want to give the Linux VM more memory?,f3dd94f323
"What configuration line do I need to add so WSL2 gets more RAM, and what value is typically shown as an example?",f3dd94f323
"After changing the memory setting for WSL2, what command should I run to restart the subsystem so the change takes effect?",f3dd94f323
How can I check from inside WSL whether the new memory limit was applied correctly?,f3dd94f323
"Is the project required to use OpenAI, or can I swap in another LLM service?",c6ff9083c0
"If I use a different hosted model API, what parts of the code usually need to be changed?",c6ff9083c0
What are some good alternatives when the course provider is unavailable in my country?,c6ff9083c0
Can I run the model on my own computer or server instead of calling an external API?,c6ff9083c0
Where can I find a recommended list of other model providers and local inference tools?,c6ff9083c0
"What are the usual steps to try when a Codespace keeps hanging at the reconnect stage, and when should I recreate it?",830f3d2018
"If I open my workspace and it looks like my environment vanished, what exactly is supposed to survive and what gets reset?",830f3d2018
"Should I use the browser version of VS Code, a different browser, or the desktop app when Codespaces refuses to load properly?",830f3d2018
"What is the safest way to avoid losing my code if I need to stop, rebuild, or replace a Codespace?",830f3d2018
"If GitHub Codespaces keeps acting unreliable for this module, is there an alternative setup I can use for the course?",830f3d2018
"In agentic RAG, what kinds of external actions can a model invoke through tools or functions?",c296ea5a21
How should I think about the difference between a tool and a function in this course?,c296ea5a21
What is the main role of tool calls when the model needs help from outside the LLM?,c296ea5a21
How does agentic RAG use tool calling differently from the fixed retrieval step in basic RAG?,c296ea5a21
Can you explain when the model decides to use a tool or function instead of answering directly?,c296ea5a21
What are the best ways to stop my notebook from running into OpenAI 429 errors when it processes lots of texts in a loop?,8e21752415
"If I get temporary rate-limit failures from the API, how can I configure the client so it retries instead of aborting right away?",8e21752415
How can I keep my course code from making too many requests per minute when I use threads or worker pools?,8e21752415
What is a good strategy for saving embeddings or model outputs so I do not pay for the same calls again after rerunning a notebook?,8e21752415
"When I need to send many independent items to the model, should I send them one by one or combine them, and what lower-cost model/provider is recommended for this course?",8e21752415
Which no-cost models can I use for development if I need agent tool-calling support?,0d74a3616f
"Do Groq models like Deepseek R1 or Llama 4 work with tools, and are they free to try?",0d74a3616f
"Besides Groq, which other model providers support function or tool calls?",0d74a3616f
"If I switch away from OpenAI, what kinds of code changes should I expect for tool use?",0d74a3616f
Where can I find the documentation for using tools with Groq models?,0d74a3616f
Why does my code break with an AttributeError on `.output` when I switch from OpenAI to another model provider?,9e7b3f0c25
"If I am using Mistral, Groq, or Gemini, which API style should I call to get the model reply back?",9e7b3f0c25
How should I read the assistant text when the provider does not support the newer OpenAI responses endpoint?,9e7b3f0c25
Do I need to change the tool definitions when moving my agent from OpenAI to a different vendor?,9e7b3f0c25
Is it acceptable for homework to keep using the older chat-completions interface instead of the newer responses-based one?,9e7b3f0c25
"Why does my toyaikit setup throw a 404 with Groq or another provider that is not OpenAI, and what client/runner should I use instead?",0224d980b3
How can I point toyaikit at Groq while still using the OpenAI-compatible chat completions API?,0224d980b3
"What is the recommended way to use Anthropic models with toyaikit, and which runner pairs with it?",0224d980b3
When should I call `runner.loop(prompt=...)` versus `runner.run()` in toyaikit?,0224d980b3
What model naming or warning issues should I watch for when using Anthropic or Groq with toyaikit?,0224d980b3
How should I define the weather function tool so Azure OpenAI stops complaining about the missing function field in tools[0] ?,b9c7c6bb34
What is the correct JSON structure for my weather tool when I want to call a city-based weather function in Azure OpenAI?,b9c7c6bb34
My tool call is failing with a 400 invalid request error about a required function parameter; what should the tool schema look like instead?,b9c7c6bb34
"Can you show the proper way to declare the weather tool with name, description, and city argument in JSON?",b9c7c6bb34
"In the Agentic RAG module, what changes do I need to make to my weather tool configuration to avoid the Azure OpenAI tools error?",b9c7c6bb34
How do I locate the Module 1 homework instructions and supporting materials for the 2026 cohort?,53f15299b6
"Besides the course platform, where else should I look for the homework links and details?",53f15299b6
What resources should I open if I need the official 2026 Module 1 homework tasks and context?,53f15299b6
"Is the homework only posted on the management platform, or is it also in the course GitHub repository?",53f15299b6
"Where should I check for submission info and deadlines, and where can I find any extra homework notes?",53f15299b6
"Why am I getting a 402 error from OpenRouter when I call responses.create in my homework code, even though the request seems valid?",cfb07a27d5
How can I adjust my OpenAI/OpenRouter request so the model does not get rejected before it starts generating output?,cfb07a27d5
"Where should I add the output-token limit in the Module 1 rag_helper.py solution, and what value is usually sufficient?",cfb07a27d5
"In ToyAIKit for Q6, how do I pass a smaller generation limit through OpenAIClient so OpenRouter accepts the call?",cfb07a27d5
"If I still see the same failure after limiting output tokens, what settings in my .env file and OpenRouter account should I verify?",cfb07a27d5
"Why am I getting an empty result list after I apply my search filters in the homework, and what should I check first in the indexing process?",83da208a64
"In the Module 1 homework, if my query returns nothing after filtering, could the problem be with how I created the index before inserting the documents?",83da208a64
What is the correct order for setting up the index and loading the data so that later filters and queries work properly?,83da208a64
My filtered search in Homework Q3 keeps coming back empty—does this usually mean I made a mistake while indexing the dataset?,83da208a64
"Before I run queries with filters on the homework data, what index configuration step do I need to complete to avoid empty responses?",83da208a64
"When I compute a homework number and it is only a little different from the choices, should I pick the nearest option or keep searching for an exact match?",5e4ca64cb5
What can cause my result to differ slightly from the listed multiple-choice answers in the homework?,5e4ca64cb5
"If my calculated value is nowhere near any of the available options, what should I check first before submitting?",5e4ca64cb5
"Should I worry if my homework output changes because of rounding, dataset versions, or model differences?",5e4ca64cb5
Where can I find the general instructions for handling homework answer selection in this course?,5e4ca64cb5
"In the Module 1 homework, why should the search index be built from the split pieces instead of the full records?",b4300adeb1
"When setting up RAG for this assignment, which dataset should the index be trained on: the original documents or the chunked text?",b4300adeb1
"If my source data is stored in `documents` and the split version in `chunks`, what should I pass to `index.fit()`?",b4300adeb1
What is the effect of using chunks in the retrieval step of the RAG pipeline rather than entire documents?,b4300adeb1
How does pointing RAG to the chunk index change what gets included in the prompt?,b4300adeb1
"If the homework prompt is confusing, where should I look first for the real instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub pages should I open to understand the assignment and materials?",7d3a2e3505
"Why might the homework task look different from the lesson, even though it tests the same idea?",7d3a2e3505
"When I still cannot understand the homework after reading the docs, what is the best way to ask for help in Slack?",7d3a2e3505
What should I include in a help request so others can debug my homework issue without using screenshots?,7d3a2e3505
"In the Module 1 homework, where should I read the token count when my client returns usage data instead of using a tokenizer library?",fe8fed31e6
"If I switch away from OpenAI for this homework, how do I find the prompt token number from the API response?",fe8fed31e6
"Why shouldn't I rely on tiktoken or cl100k_base when checking tokens for Gemini, Mistral, Hugging Face, or Groq?",fe8fed31e6
What should I do if my model provider does not include any token usage information in the response object?,fe8fed31e6
"For the multiple-choice questions in this homework, what is the recommended way to pick an answer when token counts are only approximate?",fe8fed31e6
"How would you explain embeddings in simple terms for non-numeric content, and why are they useful for preserving meaning?",69430a79a8
"Why do similar inputs usually end up with nearby numbers after embedding, and how does that help with semantic comparison?",69430a79a8
What is the role of embeddings in turning text or other unstructured data into a form that search algorithms can work with?,69430a79a8
"Which related ideas should I study alongside embeddings, such as vector space models or dimensionality reduction, to understand them better?",69430a79a8
How do embeddings make it possible to measure similarity between pieces of content using math rather than just exact matches?,69430a79a8
"Why would my homework link be marked as invalid if the checker gets a 404 or 500 when opening my repository URL, and what should I verify first?",bcdb8740ce
How can I tell whether my repo is accessible to the grader before resubmitting the homework?,bcdb8740ce
"Could a repository ending with .git cause the submission to fail, and if so, what form of the URL should I use instead?",bcdb8740ce
"What are the common reasons a GitHub link works for me but not for the homework validator, and how do I fix them?",bcdb8740ce
"Is making the repository public enough to solve a failed homework submission caused by a bad HTTP response, or do I need to check the exact URL too?",bcdb8740ce
How can I stop the warning about the model being made on sentence-transformers v3.0.0 beta or earlier?,aa3f597424
What should I install or upgrade to get rid of the sentence-transformers compatibility warning?,aa3f597424
Is there a version of sentence-transformers I need in order to suppress that model warning?,aa3f597424
What command can I run to avoid seeing the warning from multi-qa-mpnet-base-dot-v1?,aa3f597424
"Why does this warning appear, and how do I update my environment so it goes away?",aa3f597424
Why did the lesson rely on a plain dot product for similarity instead of an explicit cosine formula?,92cd22cada
In what situation does the vector dot product match cosine similarity exactly?,92cd22cada
Why do the homework embeddings require manual normalization before comparing them?,92cd22cada
How do TF-IDF plus SVD vectors differ from the embeddings used in the lecture with respect to length normalization?,92cd22cada
What changes when embeddings are not unit length and you want cosine-based retrieval?,92cd22cada
How do we measure how close two non-zero vectors are in text embeddings or document comparisons?,db78580409
What does the cosine of the angle between two vectors tell us in vector search or text analysis?,db78580409
Why is cosine-based scoring useful when comparing documents represented by word counts or TF-IDF?,db78580409
"What do the values -1, 0, and 1 mean when using this similarity metric?",db78580409
"In a text retrieval setting, how does this method capture whether two documents are similar or unrelated?",db78580409
"In vector search for the course project, should I store only the answer text, only the question, or both together when creating embeddings?",5c4a8d2e60
"What are the three embedding strategies shown in the vector search lesson, and when might each one make sense?",5c4a8d2e60
Why can embedding just the answer still retrieve relevant results for a user query?,5c4a8d2e60
"Why would embedding only the question work well in a search setup, and what is the tradeoff versus combining question and text?",5c4a8d2e60
"How should I decide which embedding input to use for my dataset: question, answer, or question plus answer text?",5c4a8d2e60
How does normalizing embeddings to unit length make cosine scoring equivalent to a dot product with the query?,95feb4e75b
Why can similarity search be implemented as a single matrix multiply after vectors are normalized?,95feb4e75b
What role does vector normalization play in turning cosine comparison into an efficient linear algebra operation?,95feb4e75b
"If the query and document vectors all have length one, why does their alignment score no longer depend on magnitude?",95feb4e75b
Why is cosine-based retrieval faster to compute once both the documents and the query are normalized?,95feb4e75b
"For Module 2, should I make a fresh GitHub repository or can I reuse my current one with a separate codespace?",1e829a8c6f
Why does the course recommend starting Module 2 in its own codespace instead of adding everything to the one I used before?,1e829a8c6f
"If I create another codespace for the vector search module, will it be tied to my existing repo or does it need a new repo setup?",1e829a8c6f
"What is the practical reason for isolating Module 2 work in a different codespace, and can I just remove it afterward?",1e829a8c6f
"If I work in a temporary codespace for this module, do I still need to save my changes by committing them somewhere?",1e829a8c6f
"Why might the model download script stay stuck at 0% for a long time, even though nothing seems wrong locally?",29b69fbe0b
What can I do if fetching the ONNX file from Hugging Face never seems to start or completes extremely slowly?,29b69fbe0b
Is there a way to avoid the script waiting on the remote download by putting the model file in place myself?,29b69fbe0b
"Where should I get the ONNX model manually, and what local path should it be saved to so the script can use it?",29b69fbe0b
"If I already have the file saved in the expected folder, will the downloader skip the network step the next time I run it?",29b69fbe0b
Why am I seeing an IndexError: list index out of range when I try to select the top chunk from my search results?,1a7b27c4df
What should I check if my embedding matrix has a different size than my list of text chunks?,1a7b27c4df
How can I avoid mismatching chunks and vectors when creating embeddings for vector search?,1a7b27c4df
Is it necessary to build embeddings directly from the chunk contents rather than from some other list?,1a7b27c4df
What is the correct way to generate embeddings so that the number of rows matches the number of chunks?,1a7b27c4df
Why can a dot-product implementation using matrix multiplication return slightly different numbers than the same calculation done in a Python loop?,e889793af9
"If two vector search methods compute the same scores but `np.allclose(...)` says they are different, what is usually causing that mismatch?",e889793af9
Should I worry if the optimized linear-algebra version and the loop version of scoring differ only in the last few decimal places?,e889793af9
Why does the order of adding floating-point values matter when calculating similarity scores?,e889793af9
What is a good way to compare scores from `X.dot(v_query)` and a loop-based version without requiring exact equality?,e889793af9
"What is the correct way to set Gemini so that both the Copilot and the Kestra flows can use it, and why are there two variables?",3860e5fe8b
"How should I store OpenAI and Tavily credentials for this orchestration setup, and which flows actually depend on them?",3860e5fe8b
"After exporting my keys, do I need to restart the service, and what command should I run so the new secrets are loaded?",3860e5fe8b
"When a flow needs a secret, do I include the special prefix in the template lookup, or should I reference the key name differently?",3860e5fe8b
"Why do the environment values need to be base64-encoded for Kestra, and what naming pattern does it expect for secret variables?",3860e5fe8b
"In the Module 2 homework, why would my cosine similarity for Q2 end up outside the multiple-choice answers even though my code runs fine?",eaa17a9dc6
What embedding setup should I use for Homework 2 instead of the sentence-transformers approach from the lessons?,eaa17a9dc6
Could my Q2 cosine result be wrong because I encoded the wrong text field or compared it with the wrong vector?,eaa17a9dc6
"Why does the homework mention an ONNX embedder, and how is it different from the model used in the lecture examples?",eaa17a9dc6
"If I get a cosine score that is close but not exact, should I worry about tiny numeric differences or just choose the nearest option?",eaa17a9dc6
"Why does the Kestra AI Copilot keep saying it can only help with creating flows, and what should I check first?",04440cab11
"What environment variable does the Copilot expect in an open-source Kestra setup, and how is that different from the key used by the flows?",04440cab11
"After setting my Gemini key, do I need to restart Kestra or rerun Docker Compose for the change to take effect?",04440cab11
What are the common reasons the Copilot still refuses to answer even after I exported a Gemini API key?,04440cab11
"If I am also running the agent or multi-agent examples, could I be hitting a Gemini quota limit, and how can I verify or work around that?",04440cab11
"Why would a secret API key work in my terminal but still be rejected by a Kestra workflow, even though I already exported it?",c8ca21af33
What is the safest way to base64-encode a Gemini key so I do not accidentally include extra whitespace or a hidden newline?,c8ca21af33
"After changing environment variables for Kestra, do I need to rebuild something or restart the container for the new secret to be visible?",c8ca21af33
"In a Kestra flow, should I reference the secret using the full environment variable name with the prefix, or only the core key name?",c8ca21af33
"Is there a better setup than exporting secrets manually in the shell, for example using a `.env` file with Docker Compose?",c8ca21af33
