id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
barbell-back-squat-012,Barbell Back Squat,Strength,"Barbell, Rack",Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core, Lower Back","Set the bar securely across your upper back and stand with feet about shoulder-width apart. Brace your core, sit your hips back, and bend your knees to descend under control. Keep your chest up and drive through your midfoot and heels to return to standing."
romanian-deadlift-013,Romanian Deadlift,Strength,Barbell,Hamstrings,Compound,"Hamstrings, Glutes, Lower Back, Core","Stand holding a barbell in front of your thighs with a slight bend in the knees. Hinge at the hips, pushing them back while lowering the bar close to your legs. Stop when you feel a stretch in the hamstrings and your back remains neutral, then drive the hips forward to stand."
shoulder-press-014,Dumbbell Shoulder Press,Strength,Dumbbells,Shoulders,Compound,"Shoulders, Triceps, Upper Chest, Core",Sit or stand with dumbbells at shoulder height and palms facing forward. Press the weights overhead until arms are extended. Lower them slowly back to shoulder level. Keep your ribcage down and avoid arching your lower back.
bicep-curl-015,Dumbbell Bicep Curl,Strength,Dumbbells,Arms,Isolation,"Biceps, Forearms",Stand tall with a dumbbell in each hand and arms at your sides. Keep your elbows close to your torso and curl the weights toward your shoulders. Lower them slowly with control. Avoid swinging your body to lift the weights.
tricep-extension-016,Overhead Triceps Extension,Strength,Dumbbell,Arms,Isolation,"Triceps, Core",Hold a dumbbell overhead with both hands or one hand depending on variation. Keep your elbows pointed forward and bend them to lower the weight behind your head. Extend your elbows to raise the weight back overhead. Keep your core engaged and upper arms mostly stationary.
lat-pulldown-017,Lat Pulldown,Strength,Machine,Back,Compound,"Latissimus Dorsi, Biceps, Rhomboids, Rear Deltoids","Sit at the machine and secure your thighs under the pads. Grip the bar slightly wider than shoulder-width and pull it down toward the upper chest. Squeeze your shoulder blades down and back, then return the bar slowly to the top. Avoid leaning too far back."
seated-row-018,Seated Cable Row,Strength,Cable Machine,Back,Compound,"Rhomboids, Latissimus Dorsi, Trapezius, Biceps, Rear Deltoids","Sit at the cable row station with feet braced and spine tall. Pull the handle toward your torso by driving elbows back and squeezing your shoulder blades together. Pause briefly, then extend your arms forward under control. Keep your torso from rocking."
leg-press-019,Leg Press,Strength,Machine,Legs,Compound,"Quadriceps, Glutes, Hamstrings",Sit in the leg press machine with your feet planted on the platform about shoulder-width apart. Unlock the sled and lower it by bending your knees until they are comfortably flexed. Press through your feet to extend your legs without locking the knees forcefully. Keep your lower back against the seat.
leg-extension-020,Leg Extension,Strength,Machine,Legs,Isolation,Quadriceps,Sit on the machine and position the pad above your ankles. Extend your knees to lift the weight until your legs are straight but not locked. Lower slowly back to the start. Keep your hips and back against the seat throughout the movement.
hamstring-curl-021,Lying Hamstring Curl,Strength,Machine,Hamstrings,Isolation,"Hamstrings, Calves","Lie face down on the hamstring curl machine and position the pad just above your ankles. Bend your knees to curl the pad toward your glutes. Pause briefly, then lower the weight slowly. Keep your hips pressed into the bench."
calf-raise-022,Standing Calf Raise,Strength,Machine,Calves,Isolation,"Gastrocnemius, Soleus","Stand on the machine or platform with the balls of your feet on the edge and heels hanging off. Raise your heels as high as possible by pushing through the balls of your feet. Lower your heels below the platform level for a full stretch, then repeat."
chest-press-machine-023,Chest Press Machine,Strength,Machine,Chest,Compound,"Chest, Triceps, Shoulders",Adjust the seat so the handles align with mid-chest. Press the handles forward until your arms are extended without locking out hard. Slowly return to the starting position. Keep your back and shoulders in contact with the pad.
pec-deck-024,Pec Deck Fly,Strength,Machine,Chest,Isolation,"Chest, Front Deltoids","Sit with your back against the pad and forearms on the machine arms. Bring the handles together in front of your chest in a controlled arc. Squeeze your chest briefly, then return to the start with control. Keep shoulders down and avoid shrugging."
reverse-fly-025,Reverse Dumbbell Fly,Strength,Dumbbells,Back,Isolation,"Rear Deltoids, Rhomboids, Trapezius","Hinge at the hips with a flat back and hold a dumbbell in each hand. With a slight bend in the elbows, raise your arms out to the sides until they are roughly in line with your shoulders. Lower slowly and keep the movement controlled. Avoid using momentum."
lateral-raise-026,Dumbbell Lateral Raise,Strength,Dumbbells,Shoulders,Isolation,"Lateral Deltoids, Upper Trapezius",Stand with dumbbells at your sides and a slight bend in the elbows. Raise the weights out to the sides until your arms reach shoulder height. Lower them slowly. Keep your torso still and avoid shrugging.
front-squat-027,Front Squat,Strength,Barbell,Legs,Compound,"Quadriceps, Glutes, Core, Upper Back",Position the barbell across the fronts of your shoulders with elbows lifted. Stand with feet about shoulder-width apart and brace your core. Descend by bending knees and hips while keeping your chest upright. Drive up through your heels to return to standing.
deadlift-028,Conventional Deadlift,Strength,Barbell,Full Body,Compound,"Glutes, Hamstrings, Back, Core, Forearms",Stand with feet hip-width apart and the barbell over the midfoot. Hinge at the hips and bend your knees to grasp the bar with a flat back. Brace your core and lift by driving through your legs and extending your hips. Lower the bar with control by reversing the movement.
kettlebell-swing-029,Kettlebell Swing,Strength,Kettlebell,Full Body,Compound,"Glutes, Hamstrings, Core, Shoulders",Stand with feet slightly wider than hip-width and hold the kettlebell with both hands. Hinge at the hips and swing the kettlebell back between your legs. Drive your hips forward explosively to swing the bell to chest height. Let the bell return naturally and repeat.
walking-lunge-030,Walking Lunge,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves, Core","Stand tall and step forward into a lunge, lowering your back knee toward the floor. Push through the front heel to bring the back leg forward into the next step. Continue alternating legs as you move ahead. Keep your torso upright and stable."
step-up-031,Step-Up,Strength,"Bench, Dumbbells",Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves","Stand in front of a sturdy bench or box. Place one foot firmly on the platform and drive through that heel to lift your body up. Bring the other foot up, then step back down with control. Avoid pushing off too much with the trailing leg."
hip-thrust-032,Barbell Hip Thrust,Strength,"Barbell, Bench",Glutes,Compound,"Glutes, Hamstrings, Core","Sit on the floor with your upper back against a bench and a barbell across your hips. Plant your feet and drive through your heels to lift your hips until your torso is parallel to the floor. Squeeze your glutes at the top, then lower under control. Keep your chin tucked slightly."
cable-pallof-press-033,Pallof Press,Strength,Cable Machine,Core,Anti-Rotation,"Core, Obliques, Glutes, Shoulders","Stand sideways to a cable machine with the handle held at chest height. Press the handle straight out in front of your body and resist rotation. Hold briefly, then bring it back to your chest. Keep your torso square and stable."
face-pull-034,Cable Face Pull,Strength,Cable Machine,Shoulders,Compound,"Rear Deltoids, Rhomboids, Trapezius, Rotator Cuff",Set a rope attachment at upper chest or face level. Pull the rope toward your face while separating the ends and squeezing your shoulder blades together. Return slowly to the start. Keep your elbows high and avoid arching your back.
tricep-pushdown-035,Cable Triceps Pushdown,Strength,Cable Machine,Arms,Isolation,Triceps,Stand facing a cable machine with a straight bar or rope attachment. Keep your elbows tucked at your sides and extend your arms downward until fully straight. Slowly allow the handle to rise back up. Avoid moving your upper arms.
ab-crunch-machine-036,Ab Crunch Machine,Strength,Machine,Core,Isolation,"Rectus Abdominis, Obliques","Sit on the machine and position your upper body against the pad. Crunch your torso forward by contracting your abs. Pause briefly, then return slowly to the starting position. Use controlled movement and avoid pulling with your arms."
assault-bike-sprints-037,Assault Bike Sprints,Cardio,Stationary Bike,Full Body,Compound,"Quadriceps, Hamstrings, Glutes, Calves, Shoulders, Core",Adjust the bike seat and grips for a stable position. Drive hard with both the arms and legs to accelerate the bike quickly. Maintain a strong posture while pedaling at high intensity for the chosen interval. Recover at an easier pace between sprints.
rower-038,Rowing Machine Row,Cardio,Rowing Machine,Full Body,Compound,"Back, Legs, Shoulders, Core, Arms","Sit on the rowing machine with feet secured and grip the handle. Begin the stroke by driving with your legs, then lean back slightly and pull the handle to your lower ribs. Reverse the motion by extending your arms, hinging forward, and bending the knees. Keep the sequence smooth and coordinated."
treadmill-incline-walk-039,Treadmill Incline Walk,Cardio,Treadmill,Lower Body,Compound,"Glutes, Hamstrings, Calves, Quadriceps",Set the treadmill to a comfortable walking speed and a moderate incline. Walk with an upright posture and purposeful steps while swinging your arms naturally. Maintain steady breathing and avoid holding the handrails. Adjust incline and pace as needed for your fitness level.
jump-rope-040,Jump Rope,Cardio,Jump Rope,Full Body,Compound,"Calves, Quadriceps, Shoulders, Forearms, Core",Hold the rope handles with elbows close to your sides. Rotate the rope using your wrists and hop lightly over it with both feet or alternate feet. Keep jumps low and land softly on the balls of your feet. Continue in a smooth rhythm.
box-jump-041,Box Jump,Plyometric,"Box, Platform",Legs,Compound,"Quadriceps, Glutes, Calves, Hamstrings, Core","Stand in front of a stable box or platform. Dip slightly at the hips and knees, then explode upward to jump onto the box. Land softly with both feet fully on the surface and knees bent. Step back down carefully before repeating."
medicine-ball-slam-042,Medicine Ball Slam,Power,Medicine Ball,Full Body,Compound,"Core, Shoulders, Back, Glutes, Legs",Stand with feet shoulder-width apart holding a medicine ball overhead. Engage your core and slam the ball forcefully to the floor. Squat to pick it up and repeat. Use your hips and abs to generate power.
battle-rope-043,Battle Rope Waves,Cardio,Battle Ropes,Full Body,Compound,"Shoulders, Arms, Core, Back, Legs",Hold one end of each rope with feet shoulder-width apart and knees slightly bent. Create alternating or simultaneous waves by driving your arms up and down rapidly. Keep your core tight and chest up. Sustain the rhythm for the desired interval.
farmer-carry-044,Farmer's Carry,Strength,"Dumbbells, Kettlebells",Full Body,Compound,"Forearms, Core, Shoulders, Traps, Glutes","Stand tall holding a heavy weight in each hand at your sides. Walk forward with controlled steps while keeping your shoulders level and core braced. Continue for distance or time, then set the weights down carefully. Avoid leaning side to side."
suitcase-carry-045,Suitcase Carry,Strength,"Dumbbell, Kettlebell",Core,Compound,"Obliques, Core, Forearms, Shoulders, Glutes",Hold a heavy weight in one hand at your side and stand upright. Walk forward without allowing your torso to lean toward or away from the load. Keep your ribs down and core engaged. Switch sides after the set distance or time.
single-leg-romanian-deadlift-046,Single-Leg Romanian Deadlift,Strength,Dumbbells,Hamstrings,Compound,"Hamstrings, Glutes, Core, Balance Muscles",Stand on one leg holding dumbbells or a single weight. Hinge at the hips while extending the free leg behind you and lowering the weight toward the floor. Keep your back flat and hips square. Return to standing by driving through the standing heel and squeezing the glute.
bulgarian-split-squat-047,Bulgarian Split Squat,Strength,"Bench, Dumbbells",Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core",Stand a few feet in front of a bench and place the top of one foot on it behind you. Lower your body by bending the front knee and hip until the back knee approaches the floor. Push through the front foot to rise back up. Keep your torso upright and balanced.
arnold-press-048,Arnold Press,Strength,Dumbbells,Shoulders,Compound,"Shoulders, Triceps, Upper Chest","Hold dumbbells in front of your chest with palms facing you. As you press upward, rotate your palms outward until your arms are extended overhead. Reverse the rotation as you lower the weights back down. Move smoothly and keep your core braced."
incline-dumbbell-curl-049,Incline Dumbbell Curl,Strength,"Dumbbells, Bench",Arms,Isolation,"Biceps, Forearms",Sit on an incline bench with your arms hanging straight down and a dumbbell in each hand. Curl the weights toward your shoulders without moving your upper arms. Lower slowly to full extension. Keep your shoulders back against the bench.
back-extension-050,Back Extension,Strength,"Roman Chair, Machine",Lower Back,Isolation,"Erector Spinae, Glutes, Hamstrings","Position your hips on the back extension bench and secure your feet. Start with your torso lowered while maintaining a neutral spine. Lift your upper body until it is in line with your legs, then lower back down under control. Avoid overextending at the top."
